status,polling_unit_code,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
exist and not blur,19/13/01/015,1.0,1.0,1.0,0
exist and not blur,19/07/07/016,1.0,1.0,1.0,0
exist and not blur,15/05/02/005,1.0,1.0,1.0,0
exist and not blur,19/27/04/004,1.0,1.0,1.0,0
exist and not blur,16/24/07/007,0.0,1.0,0.0,0
exist and not blur,20/26/03/026,0.0,0.0,1.0,1
exist and not blur,13/14/09/006,1.0,1.0,1.0,0
exist and not blur,13/14/09/007,1.0,1.0,1.0,0
exist and not blur,16/08/08/002,1.0,1.0,1.0,0
exist and not blur,19/34/07/013,1.0,1.0,1.0,0
exist and not blur,13/14/02/010,1.0,1.0,1.0,0
exist and not blur,19/03/04/010,1.0,1.0,0.0,1
exist and not blur,09/11/05/012,0.0,1.0,1.0,1
exist and not blur,19/28/10/024,1.0,1.0,1.0,0
exist and not blur,16/04/08/008,1.0,1.0,1.0,0
exist and not blur,13/06/02/004,1.0,1.0,1.0,0
exist and not blur,20/05/11/009,1.0,1.0,1.0,0
exist and not blur,36/07/04/016,0.0,1.0,1.0,1
exist and not blur,14/08/17/012,1.0,0.0,1.0,1
exist and not blur,09/13/11/005,1.0,1.0,1.0,0
exist and not blur,20/24/08/001,1.0,1.0,1.0,0
exist and not blur,20/26/03/013,1.0,1.0,0.0,1
exist and not blur,20/03/10/018,0.0,1.0,1.0,1
exist and not blur,36/14/04/003,1.0,1.0,0.0,0
exist and not blur,20/21/10/012,0.0,1.0,1.0,1
exist and not blur,16/12/02/006,1.0,1.0,1.0,0
exist and not blur,20/32/10/011,1.0,1.0,0.0,1
exist and not blur,20/33/10/002,0.0,1.0,1.0,1
exist and not blur,36/05/09/015,1.0,1.0,1.0,0
exist and not blur,09/17/10/034,0.0,1.0,1.0,1
exist and not blur,19/35/03/008,0.0,1.0,1.0,1
exist and not blur,19/40/05/015,1.0,1.0,1.0,0
exist and not blur,14/04/12/006,1.0,1.0,0.0,1
exist and not blur,14/04/09/006,1.0,1.0,1.0,0
exist and not blur,19/25/09/005,1.0,1.0,1.0,0
exist and not blur,01/06/02/011,0.0,1.0,1.0,1
exist and not blur,14/16/09/031,1.0,1.0,1.0,0
exist and not blur,16/27/01/017,1.0,1.0,1.0,0
exist and not blur,09/13/05/006,1.0,0.0,1.0,1
exist and not blur,20/26/04/009,1.0,1.0,1.0,0
exist and not blur,19/42/06/017,0.0,1.0,1.0,1
exist and not blur,14/06/15/005,0.0,1.0,1.0,1
exist and not blur,13/02/09/003,1.0,1.0,1.0,0
exist and not blur,19/07/11/048,1.0,1.0,1.0,0
exist and not blur,09/18/04/006,0.0,1.0,1.0,1
exist and not blur,19/09/07/003,1.0,1.0,1.0,0
exist and not blur,01/11/03/042,0.0,1.0,1.0,1
exist and not blur,20/03/06/009,1.0,1.0,1.0,0
exist and not blur,13/16/02/004,0.0,1.0,1.0,0
exist and not blur,20/20/02/001,0.0,1.0,1.0,1
exist and not blur,19/07/02/026,0.0,1.0,1.0,1
exist and not blur,19/37/04/013,1.0,0.0,1.0,1
exist and not blur,36/13/11/008,1.0,1.0,1.0,0
exist and not blur,16/02/05/012,1.0,0.0,1.0,1
exist and not blur,09/13/01/022,0.0,1.0,1.0,1
exist and not blur,19/12/08/006,0.0,0.0,1.0,1
exist and not blur,09/18/05/010,0.0,1.0,1.0,1
exist and not blur,19/07/10/044,1.0,1.0,1.0,0
exist and not blur,36/03/08/002,1.0,1.0,1.0,0
exist and not blur,20/16/08/010,1.0,1.0,0.0,1
exist and not blur,16/23/05/002,1.0,1.0,0.0,1
exist and not blur,19/30/05/013,1.0,1.0,1.0,0
exist and not blur,01/15/06/029,1.0,1.0,0.0,1
exist and not blur,15/11/11/009,1.0,0.0,1.0,1
exist and not blur,19/07/05/127,0.0,1.0,1.0,1
