State,S/N,LGA,APC,LP,PDP,NNPP
Taraba,1,ARDO - KOLA,6227,6045,13172,421
Taraba,2,BALI,6872,5667,15081,1553
Taraba,3,DONGA,10953,13611,5582,286
Taraba,4,GASHAKA,4239,2453,5272,318
Taraba,5,GASSOL,13892,5288,25993,2966
Taraba,6,IBI,11876,6507,5089,537
Taraba,7,JALINGO,20169,19902,22301,2842
Taraba,8,KARIM-LAMIDO,9158,5705,21669,316
Taraba,9,KURMI,3226,5334,6591,73
Taraba,10,LAU,4928,6120,13080,267
Taraba,11,SARDAUNA,17292,5308,15192,1585
Taraba,12,TAKUM,5944,13406,4890,329
Taraba,13,USSA,6724,18172,4303,304
Taraba,14,WUKARI,6739,23076,6091,534
Taraba,15,YORRO,3401,5027,9775,327
Taraba,16,ZING,3525,4694,14936,160
Adamawa,1,DEMSA,5746,7962,17166,199
Adamawa,2,FUFORE,12633,897,26059,508
Adamawa,3,GANYE,10112,1069,21672,191
Adamawa,4,GIREI,8531,3749,17557,254
Adamawa,5,GOMBI,8341,2628,21744,541
Adamawa,6,GUYUK,5904,8165,13942,91
Adamawa,7,HONG,11489,9532,24569,790
Adamawa,8,JADA,8479,984,28561,186
Adamawa,9,LAMURDE,3645,9744,9912,188
Adamawa,10,MADAGALI,4935,4034,18077,201
Adamawa,11,MAIHA,7335,440,14088,146
Adamawa,12,MAYO - BELWA,13271,1392,23479,280
Adamawa,13,MICHIKA,7062,6047,28328,177
Adamawa,14,MUBI NORTH,10078,12261,21528,1253
Adamawa,15,MUBI SOUTH,9399,2936,15463,519
Adamawa,16,NUMAN,5115,10229,8984,168
Adamawa,17,SHELLENG,6213,1028,14765,69
Adamawa,18,SONG,10993,8506,20406,1223
Adamawa,19,TOUNGO,4163,651,7401,59
Adamawa,20,YOLA NORTH,15885,9925,32136,584
Adamawa,21,YOLA SOUTH,13552,3469,31774,379
Edo,1,AKOKO EDO,15183,14002,8660,82
Edo,2,EGOR,3978,40160,1766,298
Edo,3,ESAN CENTRAL,4458,10192,3692,91
Edo,4,ESAN NORTH EAST,2589,18973,2091,146
Edo,5,ESAN SOUTH EAST,4675,10511,3961,61
Edo,6,ESAN WEST,3417,18793,2630,170
Edo,7,ETSAKO CENTRAL,10008,3707,4691,20
Edo,8,ETSAKO EAST,14799,5506,6978,27
Edo,9,ETSAKO  WEST,25581,11148,9143,111
Edo,10,IGUEBEN,2419,6449,3530,64
Edo,11,IKPOBA/OKHA,4367,63639,5931,536
Edo,12,OREDO,6701,60295,4202,404
Edo,13,ORHIONMWON,6527,9049,4668,121
Edo,14,OVIA NORTH EAST,5877,24484,3919,257
Edo,15,OVIA SOUTH WEST,7692,8402,4722,100
Edo,16,OWAN EAST,13634,6786,9999,31
Edo,17,OWAN WEST,9322,6112,6026,27
Edo,18,UHUNMWODE,3244,12955,2976,197
Jigawa,1,AUYO,18201,26,13210,2889
Jigawa,2,BABURA,17817,71,14069,4600
Jigawa,3,BIRNIN KUDU,22592,98,34792,1912
Jigawa,4,BIRNIWA,15150,29,12977,2196
Jigawa,5,BUJI,11867,9,10868,343
Jigawa,6,DUTSE,16739,553,29951,2717
Jigawa,7,GARKI,18332,39,9614,6870
Jigawa,8,GAGARAWA,8091,29,8870,3770
Jigawa,9,GUMEL,6696,78,9816,3935
Jigawa,10,GURI,13594,25,6402,5913
Jigawa,11,GWARAM,19026,127,32907,12010
Jigawa,12,GWIWA,16309,2,7643,165
Jigawa,13,HADEJIA,12328,126,10035,6480
Jigawa,14,JAHUN,24338,32,21683,2133
Jigawa,15,KAFIN HAUSA,22108,32,20088,2108
Jigawa,16,KAUGAMA,17506,81,14514,4174
Jigawa,17,KAZAURE,9430,119,9827,4040
Jigawa,18,KIRIKA SAMMA,15455,17,12691,2494
Jigawa,19,KIYAWA,18701,35,17435,756
Jigawa,20,MAIGATARI,14640,34,13973,986
Jigawa,21,MALAM MADORI,14586,49,13684,2479
Jigawa,22,MIGA,15293,19,12038,950
Jigawa,23,RINGIM,18624,57,11213,15630
Jigawa,24,RONI,13073,36,8001,622
Jigawa,25,SULE-TANKARKAR,14971,24,12919,1500
Jigawa,26,TAURA,18003,134,11339,6082
Jigawa,27,YANKWASHI,7920,8,6028,480
Yobe,1,BADE,8081,215,15789,2983
Yobe,2,BURSARI,6737,19,7217,245
Yobe,3,DAMATURU,7306,769,16649,553
Yobe,4,FIKA,12419,227,19975,433
Yobe,5,FUNE,12696,49,18308,570
Yobe,6,GEIDAM,5918,7,7223,805
Yobe,7,GUJBA,6643,25,8204,217
Yobe,8,GULANI,7995,6,8646,767
Yobe,9,JAKUSKO,10554,48,11836,2254
Yobe,10,KARASAWA,9042,33,6048,1775
Yobe,11,MACHINA,8067,31,3501,797
Yobe,12,NANGERE,8060,147,15813,464
Yobe,13,NGURU,9588,313,12001,3384
Yobe,14,POTISKUM,13521,473,34787,1637
Yobe,15,TARMUWA,4416,20,4178,118
Yobe,16,YUNUSARI,9638,11,3692,836
Yobe,17,YUSUFARI,10778,13,4700,432
Bauchi,1,ALKALERI,12238,147,25098,1232
Bauchi,2,BAUCHI,44924,7041,70874,3927
Bauchi,3,BOGORO,4850,6866,15156,798
Bauchi,4,DAMBAM,7588,42,12203,2586
Bauchi,5,DARAZO,16070,41,17459,1895
Bauchi,6,DASS,10939,705,13242,397
Bauchi,7,GAMAWA,13955,53,15469,5127
Bauchi,8,GANJUWA,13021,222,17380,4287
Bauchi,9,GIADE,10382,17,11977,4002
Bauchi,10,ITAS/GADAU,11978,36,11757,6315
Bauchi,11,JAMA'ARE,8140,22,12535,3638
Bauchi,12,KATAGUM,20030,493,22987,9672
Bauchi,13,KIRFI,9599,33,13431,1544
Bauchi,14,MISAU,14199,48,18354,4115
Bauchi,15,NINGI,20587,56,21619,4023
Bauchi,16,SHIRA,14369,54,20683,8555
Bauchi,17,TAFAWA BALEWA,17897,8776,30585,1281
Bauchi,18,TORO,40150,2517,37169,5375
Bauchi,19,WARJI,11862,185,17732,424
Bauchi,20,ZAKI,13916,19,20897,2910
Ogun,1,ABEOKUTA NORTH,20094,4092,5057,104
Ogun,2,ABEOKUTA SOUTH,28111,8930,7787,137
Ogun,3,ADO ODO-OTA,46558,17888,10838,276
Ogun,4,EGBADO NORTH,19053,1535,9830,478
Ogun,5,EGBADO SOUTH,18471,3126,5012,117
Ogun,6,EWEKORO,9778,2287,3646,79
Ogun,7,IFO,26507,9751,5760,161
Ogun,8,IJEBU EAST,10970,2163,4495,40
Ogun,9,IJEBU NORTH,21844,2372,7233,50
Ogun,10,IJEBU NORTH EAST,7430,1779,2859,19
Ogun,11,IJEBU ODE,16072,3162,4057,56
Ogun,12,IKENNE,9431,2698,6616,39
Ogun,13,IMEKO/AFON,12146,568,4560,32
Ogun,14,IPOKIA,16929,1860,16082,186
Ogun,15,OBAFEMI/OWODE,17387,9964,3115,114
Ogun,16,ODEDA,12945,3064,3855,73
Ogun,17,ODOGBOLU,12374,2688,6176,36
Ogun,18,OGUN WATER SIDE,8522,481,5090,29
Ogun,19,REMO NORTH,5814,984,3627,22
Ogun,20,SAGAMU,21118,6437,8136,152
Rivers,1,ABUA-ODUAL,5653,1663,4685,9
Rivers,2,AHOADA EAST,8066,5379,2358,58
Rivers,3,AHOADA WEST,3443,4634,2582,11
Rivers,4,AKUKU TORU,3182,1700,3131,14
Rivers,5,ANDONI,3306,2324,4614,18
Rivers,6,ASARI-TORU,14483,2094,4476,9
Rivers,7,BONNY,2708,10488,2406,87
Rivers,8,DEGEMA,2375,2212,3108,44
Rivers,9,ELEME,8368,7529,2391,82
Rivers,10,EMOHUA,9145,4239,5242,18
Rivers,11,ETCHE,8366,11232,5919,78
Rivers,12,GOKANA,10122,2215,8484,31
Rivers,13,IKWERRE,9609,8752,4869,58
Rivers,14,KHANA,7649,1704,5483,47
Rivers,15,OBIO/AKPOR,80239,3829,368,161
Rivers,16,OGBA/EGBEMA/NDONI,6057,21883,4099,109
Rivers,17,OGU/BOLO,2428,1209,3187,7
Rivers,18,OKRIKA,2729,4018,8476,34
Rivers,19,OMUMA,6328,2154,1293,15
Rivers,20,OPOBO/NKORO,5701,2093,1542,6
Rivers,21,OYIGBO,16630,10784,1046,107
Rivers,22,PORT HARCOURT,5562,62451,7203,301
Rivers,23,TAI,9442,485,1506,18
Kano,1,AJINGI,7066,182,1540,16798
Kano,2,ALBASU,9618,34,2350,19161
Kano,3,BAGWAI,14949,102,1935,14243
Kano,4,BEBEJI,12616,239,1475,22242
Kano,5,BICHI,31673,178,1371,20862
Kano,6,BUNKURE,11161,76,1528,16759
Kano,7,DALA,8262,234,8543,55967
Kano,8,DANBATA,13179,66,2099,15179
Kano,9,DAWAKI KUDU,12258,167,3768,32925
Kano,10,DAWAKI TOFA,16773,202,2477,25072
Kano,11,DOGUWA,15424,642,1408,14543
Kano,12,FAGGE,4060,14896,5416,23162
Kano,13,GABASAWA,11992,48,2191,13736
Kano,14,GARKO,8485,313,2067,15889
Kano,15,GARUN MALAM,8642,160,4409,12249
Kano,16,GAYA,8708,158,1386,18999
Kano,17,GEZAWA,9915,188,2980,21909
Kano,18,GWALE,6950,270,7457,42932
Kano,19,GWARZO,20627,70,2125,19950
Kano,20,KABO,18767,79,2463,15923
Kano,21,KANO MUNICIPAL,9948,267,10298,51954
Kano,22,KARAYE,10874,134,2132,16295
Kano,23,KIBIYA,10283,70,753,16331
Kano,24,KIRU,19155,112,2467,27199
Kano,25,KUMBOTSO,6721,815,5996,44474
Kano,26,KUNCHI,10359,50,703,8090
Kano,27,KURA,10929,126,3987,20406
Kano,28,MADOBI,12038,39,2393,23130
Kano,29,MAKODA,12590,40,1099,12247
Kano,30,MINJIBIR,6777,123,1833,15505
Kano,31,NASARAWA,10218,3863,10599,61053
Kano,32,RANO,11268,115,1898,16286
Kano,33,RIMIN GADO,10861,76,907,14634
Kano,34,ROGO,10403,343,1616,19584
Kano,35,SHANONO,11557,44,1703,9672
Kano,36,SUMAILA,11341,1106,1553,24307
Kano,37,TAKAI,13770,69,3124,19849
Kano,38,TARAUNI,6133,659,6067,32891
Kano,39,TOFA,10280,177,1192,17219
Kano,40,TSANYAWA,14052,89,1721,14468
Kano,41,TUDUN WADA,18017,1053,1965,23041
Kano,42,UNGOGO,8011,334,4659,34916
Kano,43,WARAWA,10352,125,1277,12708
Kano,44,WUDIL,10279,380,2785,22517
Bayelsa,1,BRASS,3684,2273,6209,25
Bayelsa,2,EKEREMOR,4398,4489,9113,16
Bayelsa,3,KOLOKUMA/OPOKUMA,4137,3395,8972,34
Bayelsa,4,NEMBE,3005,1807,2334,15
Bayelsa,5,OGBIA,8444,6721,6362,47
Bayelsa,6,SAGBAMA,4603,4629,10240,24
Bayelsa,7,SOUTHERN IJAW,7650,4400,11280,190
Bayelsa,8,YENAGOA,6651,22261,14308,189
